ID,Name,EQ2012,EQ2013,Eqabschg,Eqrelch,Putinmeet,Putinvisit,Putineither,ITP,IBE,GRP2012,GRPgrowth,GRPpc,forputin,pctputin,foropp,pctopp,marginvic,poverty,pop,govtemp,pctgov
1,?????????? ?????? (??????),3318029,3971511,653482,0.196948851,0,0,0,0.321,0.825,65236,0.059,147117.4,141257,0.6407,45311,0.2055,0.4352,11.3,445000,5443,0.012231461
2,?????????? ?????,6308861,7253704,944843,0.149764434,0,0,0,0.355,1.87,29616,-0.012,141442.4,68110,0.6687,17229,0.1692,0.4995,18.5,210000,5302,0.025247619
3,?????????? ????????????,4200499,2306324,-1894175,-0.450940472,0,1,1,0.712,0.92,1154056,0.044,284068.3,1731716,0.7528,326250,0.1418,0.611,10.3,4061000,33904,0.008348683
4,?????????? ???????,13063464,13651455,587991,0.045010343,1,0,1,0.512,1.399,167038,0.005,171920.4,275466,0.662,75082,0.1804,0.4816,17.7,972000,12305,0.012659465
5,?????????? ????????,36855712,43157559,6301847,0.170986983,0,0,0,0.185,0.837,377975,0.046,128639.7,1322567,0.9284,84669,0.0594,0.869,7,2946000,23214,0.007879837
6,?????????? ?????????,7261899,7875526,613627,0.084499523,0,0,0,0.119,0.772,36888,0.153,84532.9,153274,0.9191,7422,0.0445,0.8746,17.1,442000,5276,0.011936652
7,?????????-?????????? ??????????,6468959,9097341,2628382,0.406306795,0,0,0,0.275,0.762,105992,0.058,123389.8,299529,0.7764,53261,0.1381,0.6383,14.2,859000,8738,0.010172293
8,?????????? ????????,2438349,2938879,500530,0.205274142,1,0,1,0.297,0.839,34017,0,119182.5,93500,0.703,23295,0.1751,0.5279,30.7,284000,6171,0.021728873
9,?????????-?????????? ??????????,5620273,6442407,822134,0.146280083,1,0,1,0.257,0.931,59513,0.047,125750.5,266410,0.9136,16937,0.0581,0.8555,16,472000,6594,0.013970339
10,?????????? ???????,3050487,1941157,-1109330,-0.363656688,0,0,0,0.722,1.336,162003,0.015,253800.8,171380,0.5538,50957,0.1647,0.3891,13.6,637000,9550,0.014992151
11,?????????? ????,839711,390306,-449405,-0.535190083,1,0,1,1.643,1.58,480764,0.018,543089.8,341864,0.6502,70135,0.1334,0.5168,13.4,880000,13763,0.015639773
12,?????????? ????? ??,5043625,5691220,647595,0.128398721,0,0,0,0.361,0.883,117598,0.098,170089,228612,0.5998,84200,0.2209,0.3789,20,690000,8117,0.011763768
13,?????????? ????????,4670165,5240440,570275,0.122110247,0,0,0,0.392,0.868,132474,0.021,161158.7,506415,0.8706,42060,0.0723,0.7983,18,819000,10326,0.012608059
14,?????????? ???? (??????),44896903,51357746,6460843,0.143903979,0,1,1,1.436,4.273,540412,0.032,565450.4,317933,0.6946,65871,0.1439,0.5507,16.7,956000,14889,0.015574268
15,?????????? ???????? ?????? - ??????,6784248,8288112,1503864,0.221669963,0,0,0,0.264,0.83,99715,0.016,140924.6,289643,0.7006,87017,0.2105,0.4901,10.4,706000,8682,0.01229745
16,?????????? ????????? (?????????),,,,,0,0,0,0.97,0.841,1436933,0.055,376889.2,1967291,0.827,229711,0.0966,0.7304,6.5,3822000,31232,0.008171638
17,?????????? ????,9958039,11351612,1393573,0.139944521,0,1,1,0.338,1.915,37653,0.021,121498.9,132828,0.9,6370,0.0432,0.8568,27.9,310000,6000,0.019354839
18,?????????? ??????????,1518133,911823,-606310,-0.399378711,0,0,0,0.676,0.9,371498,0.033,244746.2,515755,0.6575,116277,0.1482,0.5093,11.1,1518000,16895,0.011129776
19,?????????? ???????,1035922,1147343,111421,0.107557326,0,0,0,0.658,1.906,130686,0.054,245382.3,144519,0.584,50872,0.2056,0.3784,16.3,533000,8536,0.016015009
20,????????? ??????????,14507184,17875779.8,3368595.8,0.232201908,1,0,1,0.194,0.495,103677,0.071,78934.2,611578,0.9976,182,0.0003,0.9973,21.7,1325000,13273,0.010017358
21,????????? ?????????? - ???????,5401919,7037918,1635999,0.302855152,0,1,1,0.431,0.866,217034,0.062,174293.5,438070,0.6232,144676,0.2058,0.4174,16,1244000,11349,0.00912299
22,????????? ????,16343009,17541253,1198244,0.073318445,0,0,0,0.382,0.884,370555,0.016,154205.7,674139,0.5735,261665,0.2226,0.3509,20.6,2399000,30087,0.012541476
23,????????????? ????,8341560,10130495,1788935,0.214460485,0,0,0,0.525,1.163,225504,0.022,205511.4,327407,0.6569,71636,0.1437,0.5132,17.6,1095000,19046,0.017393607
24,?????????? ????,29924164,31674114,1749950,0.058479495,0,0,0,1.202,5.667,126984,0.022,396388.6,93738,0.5984,25009,0.1597,0.4387,17.8,320000,7923,0.024759375
25,????????????? ????,4910474,2847661,-2062813,-0.420084293,0,1,1,0.614,0.82,1438472,0.037,271035.4,1715349,0.6372,496909,0.1846,0.4526,11.2,5330000,45644,0.008563602
26,???????????? ????,426961,279961,-147000,-0.344293741,0,1,1,1.5,1.371,1192648,0.058,419586.9,784337,0.6016,235058,0.1803,0.4213,15.6,2847000,39825,0.013988409
27,???????? ????,6123,10002,3879,0.633512984,0,0,0,0.967,0.967,897598,0.006,340933.2,736496,0.6294,184639,0.1578,0.4716,12.2,2634000,28847,0.010951784
28,?????????? ????,6935285,6658821,-276464,-0.039863394,0,1,1,0.666,1.184,555018,-0.069,284789.3,567177,0.5731,201493,0.2036,0.3695,14.2,1947000,22862,0.011742167
29,?????????????? ????,9691641,12462905,2771264,0.285943732,0,0,0,0.446,0.842,430969,0.006,154529.6,770874,0.6447,215600,0.1803,0.4644,13.7,2791000,27742,0.009939807
30,??????????? ????,4577336,4713546,136210,0.029757483,0,1,1,0.957,1.611,434113,0.005,323415,367239,0.5615,115436,0.1765,0.385,14.3,1342000,19949,0.014865127
31,???????? ???????,3101130,3255262,154132,0.049701883,0,0,0,0.805,1.411,234010,-0.027,285642.7,251182,0.6284,67433,0.1687,0.4597,16,817000,12330,0.015091799
32,????????????? ???????,3479249,5863079,2383830,0.685156481,0,1,1,0.986,1.625,468621,0.006,387959,333344,0.5797,91648,0.1594,0.4203,13.2,1202000,17823,0.014827787
33,???????????? ???????,1100321,927788,-172533,-0.156802424,0,0,0,0.507,0.789,211330,0.113,208328.8,297448,0.6876,67662,0.1564,0.5312,12.5,1014000,11844,0.011680473
34,???????????? ???????,565362,271273,-294089,-0.520178222,0,0,0,0.732,0.823,546151,0.055,354982.9,533716,0.593,211079,0.2345,0.3585,6.5,1541000,19048,0.012360805
35,???????? ???????,5078611,5077189,-1422,-0.000279998,0,0,0,0.497,0.877,209824,0.083,166654,448018,0.6402,146340,0.2091,0.4311,10.5,1254000,15870,0.012655502
36,???????????? ???????,2148749,2058445,-90304,-0.042026314,0,0,0,0.522,0.871,285623,0.022,200178.9,341301,0.5349,132400,0.2075,0.3274,15,1422000,12521,0.008805204
37,????????????? ???????,2635496,1750949,-884547,-0.335628284,0,0,0,0.575,0.831,573903,0.028,221677.3,810598,0.6341,240998,0.1885,0.4456,13.6,2583000,25822,0.009996903
38,??????????? ???????,1332508,821962,-510546,-0.383146668,0,0,0,0.736,1.035,356071,0.048,297377.7,361720,0.5944,93417,0.1535,0.4409,13.2,1196000,16783,0.014032609
39,??????????? ???????,6969065,5745860,-1223205,-0.175519241,0,0,0,0.465,0.859,568613,0.093,243941.3,800024,0.6134,292379,0.2242,0.3892,10.3,2330000,21106,0.009058369
40,?????????? ???????,8078456,8722345,643889,0.079704463,0,0,0,0.35,0.878,136512,-0.036,129826,321170,0.6185,95005,0.183,0.4355,13.8,1049000,11771,0.011221163
41,????????? ???????,2645874,1408978,-1236896,-0.467481067,0,0,0,1.041,1.213,743764,0.094,306935.9,594861,0.5545,242097,0.2257,0.3288,16.8,2422000,32879,0.013575145
42,??????????????? ???????,483301,325413,-157888,-0.326686682,0,0,0,0.751,0.882,264622,0.047,278319.2,240421,0.5255,97570,0.2133,0.3122,10.8,955000,13419,0.014051309
43,????????? ???????,402689,222055,-180634,-0.448569492,0,0,0,0.783,0.881,288476,0.096,286496.7,299175,0.5902,101459,0.2001,0.3901,8.5,1006000,13200,0.013121272
44,??????????? ???????,577667,259431,-318236,-0.550898701,0,1,1,0.842,0.901,717700,-0.042,261301.2,1267837,0.7719,133705,0.0814,0.6905,10.6,2742000,26184,0.009549234
45,????????? ???????,7107582,7384532,276950,0.038965432,0,0,0,0.455,0.94,212370,0.018,160461.8,399810,0.5793,127982,0.1854,0.3939,12.4,1319000,17282,0.01310235
46,??????????? ???????,2893416,3083167,189751,0.065580269,0,0,0,0.462,0.914,131622,0.041,199326.8,183984,0.5278,90714,0.2602,0.2676,15.1,659000,10133,0.015376328
47,?????????? ???????,7055517,7995195,939678,0.133183436,0,1,1,0.413,0.98,144842,-0.04,162559.5,305777,0.6339,83955,0.174,0.4599,15.6,886000,13604,0.015354402
48,??????? ???????,2709822,1404739,-1305083,-0.481612076,0,0,0,0.531,0.931,253831,0.047,226551.7,366745,0.6045,122775,0.2024,0.4021,8.2,1119000,14500,0.012957998
49,????????????? ???????,,,,,0,1,1,0.905,0.876,673916,0.062,386747.8,501893,0.619,114951,0.1418,0.4772,11.9,1751000,16551,0.009452313
50,???????? ???????,159882,305140,145258,0.908532543,0,0,0,0.807,0.846,294863,0.018,253302.1,382179,0.6099,132408,0.2113,0.3986,8.4,1162000,13334,0.011475043
51,??????????? ???????,7934574,8264682,330108,0.041603746,0,0,0,1.74,4.639,76875,0.036,501071.2,39196,0.5625,13946,0.2001,0.3624,11.3,152000,5544,0.036473684
52,?????????? ???????,,,,,1,0,1,0.919,0.893,2440283,0.048,348533.8,2015379,0.5685,686449,0.1936,0.3749,6.9,7048000,58368,0.008281498
