ID,Region,RegionEnglish,EQ2012,EQ2013,Eqabschg,Eqrelch,Putinmeet,Putinvisit,Putineither,ITP,IBE,GRP2012,GRPgrowth,GRPpc,forputin,pctputin,foropp,pctopp,marginvic,pctpopputin,poverty,pop,govtemp,pctgov,TotalInc2012,TotalInc2013,GovTrn2012,GovTrn2013,pctdpngov2012,pctdpngov2013,chggovtrn,pctchgtrn,chgpctdep,Protest 11,Protest 12,TotProtest,pctcity12,pctrur12,moscowdummy,republicdummy,ncaucusdummy
1,????????? ????,Altai Krai,3318029,3971511,653482,0.196948851,0,0,0,0.321,0.825,65236,0.059,147117.4,141257,0.6407,45311,0.2055,0.4352,0.317431461,11.3,445000,5443,0.012231461,87575068781,94609648153,40261774989,45426632808,0.459740147,0.480147994,5164857819,0.011282819,0.0104439,4,2,6,0.555,0.445,0,0,0
2,???????? ???????,Amur Oblast,6308861,7253704,944843,0.149764434,0,0,0,0.355,1.87,29616,-0.012,141442.4,68110,0.6687,17229,0.1692,0.4995,0.324333333,18.5,210000,5302,0.025247619,53485890147,57660820866,21271911594,22910749663,0.397710715,0.397336516,1638838069,0.010770424,0.009990591,3,4,7,0.671,0.329,0,0,0
3,????????????? ???????,Arkhangelsk Oblast,4200499,2306324,-1894175,-0.450940472,0,1,1,0.712,0.92,1154056,0.044,284068.3,1731716,0.7528,326250,0.1418,0.611,0.426426003,10.3,4061000,33904,0.008348683,68072635209,74722810296,24302705231,21385540123,0.357011377,0.286198285,-2917165108,0.008799654,0.008016503,10,8,18,0.766,0.234,0,0,0
4,???????????? ???????,Astrakhan Oblast,13063464,13651455,587991,0.045010343,1,0,1,0.512,1.399,167038,0.005,171920.4,275466,0.662,75082,0.1804,0.4816,0.283401235,17.7,972000,12305,0.012659465,35394075766,40074533543,10664729583,10514897619,0.301313973,0.262383531,-149831963.4,0.009859507,0.008707978,4,6,10,0.667,0.333,0,0,0
5,???????????? ???????,Belgograd Oblast,36855712,43157559,6301847,0.170986983,0,0,0,0.185,0.837,377975,0.046,128639.7,1322567,0.9284,84669,0.0594,0.869,0.448936524,7,2946000,23214,0.007879837,84315357716,84381505574,21972376705,27843796209,0.260597563,0.329975106,5871419505,0.012672182,0.012662248,1,0,1,0.666,0.334,0,0,0
6,???????? ???????,Bryansk Oblast,7261899,7875526,613627,0.084499523,0,0,0,0.119,0.772,36888,0.153,84532.9,153274,0.9191,7422,0.0445,0.8746,0.346773756,17.1,442000,5276,0.011936652,41149333194,47502042797,17924284012,20827678061,0.435591117,0.438458576,2903394049,0.01161981,0.010065829,1,1,2,0.693,0.307,0,0,0
7,???????????? ???????,Vladimir Oblast,6468959,9097341,2628382,0.406306795,0,0,0,0.275,0.762,105992,0.058,123389.8,299529,0.7764,53261,0.1381,0.6383,0.348694994,14.2,859000,8738,0.010172293,50771333899,53785856337,14264990122,16217829815,0.280965439,0.30152592,1952839693,0.011368974,0.01073178,0,0,0,0.776,0.224,0,0,0
8,????????????? ???????,Volgograd Oblast,2438349,2938879,500530,0.205274142,1,0,1,0.297,0.839,34017,0,119182.5,93500,0.703,23295,0.1751,0.5279,0.329225352,30.7,284000,6171,0.021728873,83755934203,95284895092,19749032499,28734087957,0.235792636,0.301559738,8985055458,0.014549618,0.012789192,22,13,35,0.763,0.237,0,0,0
9,??????????? ???????,Vologda Oblast,5620273,6442407,822134,0.146280083,1,0,1,0.257,0.931,59513,0.047,125750.5,266410,0.9136,16937,0.0581,0.8555,0.564427966,16,472000,6594,0.013970339,53292174490,60541312161,10619076725,16409668617,0.199261464,0.271049107,5790591892,0.015453009,0.013602686,4,0,4,0.713,0.287,0,0,0
10,??????????? ???????,Voronezh Oblast,3050487,1941157,-1109330,-0.363656688,0,0,0,0.722,1.336,162003,0.015,253800.8,171380,0.5538,50957,0.1647,0.3891,0.269042386,13.6,637000,9550,0.014992151,82543121013,97515580624,24669863690,34201266874,0.298872436,0.350726178,9531403185,0.013863582,0.011734979,7,11,18,0.663,0.337,0,0,0
11,????? ??????,Moscow City,839711,390306,-449405,-0.535190083,1,0,1,1.643,1.58,480764,0.018,543089.8,341864,0.6502,70135,0.1334,0.5168,0.388481818,13.4,880000,13763,0.015639773,1.53E+12,1.57E+12,85928103773,1.53E+11,0.056312182,0.097680708,67084392442,0.017807037,0.017346284,257,185,442,0.989,0.011,1,0,0
12,????? ?????-?????????,St. Petersburg City,5043625,5691220,647595,0.128398721,0,0,0,0.361,0.883,117598,0.098,170089,228612,0.5998,84200,0.2209,0.3789,0.331321739,20,690000,8117,0.011763768,4.22E+11,4.08E+11,36955967340,73004734032,0.087573225,0.179031624,36048766692,0.019754518,0.020443649,49,46,95,1,0,0,0,0
13,????????? ?????????? ???????,Jewish Autonomous Oblast,4670165,5240440,570275,0.122110247,0,0,0,0.392,0.868,132474,0.021,161158.7,506415,0.8706,42060,0.0723,0.7983,0.618333333,18,819000,10326,0.012608059,8917322741,10695294255,4397262957,5757920673,0.493114703,0.538360192,1360657716,0.013094329,0.010917545,0,0,0,0.679,0.321,0,0,0
